area_terreno,area_construida,area_ocupada,ano_construcao,quantidade_pavimentos,valor_venal,valor_m2_construcao,bairro,valor_iptu_ano,area_privativa,vagas,quartos,banheiros,valor_condominio,valor_aluguel,preco,academia,cafe,farmacia,padaria,restaurantes,shopping,supermercado,area_comercial,area_industrial_logistico,area_outros,area_residencial,area_servico,caminhabilidade,metro_distancia,metro_linha,metro_estacao
1000,322,1000,2002,23,1408720,2497,BAIRRO003,9936.85,161,4,3,5,2600,8182,1802930,23.0,4.0,1.0,4.0,16.0,0.0,2.0,3.9,0.15,1.1,90.11,4.74,Áreas planas ou com declividades muito suaves,1980.0,LINHA005,ESTACAO006
1000,474,1000,2002,23,2396230,3092,BAIRRO003,19569.9,240,6,4,5,3876,12197,3477999,23.0,4.0,1.0,4.0,16.0,0.0,2.0,3.9,0.15,1.1,90.11,4.74,Áreas planas ou com declividades muito suaves,1980.0,LINHA005,ESTACAO006
1000,375,235,1988,11,1919780,2497,BAIRRO003,13917.1,225,4,4,3,2500,5500,1921907,23.0,4.0,1.0,4.0,13.0,0.0,2.0,3.9,0.15,1.1,90.11,4.74,Áreas planas ou com declividades muito suaves,1991.0,LINHA005,ESTACAO006
2268,159,700,1990,17,590218,2139,BAIRRO003,3019.38,90,2,2,1,1150,3584,984449,22.0,4.0,1.0,6.0,16.0,0.0,2.0,2.94,0.09,3.96,88.75,4.25,Áreas planas ou com declividades muito suaves,1954.0,LINHA005,ESTACAO006
2268,212,700,1990,17,861845,2497,BAIRRO003,5344.29,113,2,3,3,1444,4500,1221826,22.0,4.0,1.0,6.0,16.0,0.0,2.0,2.94,0.09,3.96,88.75,4.25,Áreas planas ou com declividades muito suaves,1954.0,LINHA005,ESTACAO006
1000,226,281,1991,17,905802,2497,BAIRRO003,5645.62,120,2,4,2,1377,5447,1155649,22.0,4.0,1.0,6.0,14.0,0.0,2.0,2.94,0.09,3.96,88.75,4.25,Áreas planas ou com declividades muito suaves,1980.0,LINHA005,ESTACAO006
1000,420,281,1991,17,1924630,3092,BAIRRO003,14726.7,240,3,5,3,2754,10894,2469958,22.0,4.0,1.0,6.0,14.0,0.0,2.0,2.94,0.09,3.96,88.75,4.25,Áreas planas ou com declividades muito suaves,1980.0,LINHA005,ESTACAO006
1500,474,1159,2005,26,2743480,3092,BAIRRO003,21748.8,310,4,4,6,3505,11911,5765294,22.0,4.0,1.0,5.0,14.0,0.0,2.0,2.94,0.09,3.96,88.75,4.25,Áreas planas ou com declividades muito suaves,965.0,LINHA005,ESTACAO007
1500,626,1159,2005,26,4175240,3599,BAIRRO003,36911.2,401,5,4,6,4534,15407,7137540,22.0,4.0,1.0,5.0,14.0,0.0,2.0,2.94,0.09,3.96,88.75,4.25,Áreas planas ou com declividades muito suaves,965.0,LINHA005,ESTACAO007
1530,241,1188,1991,21,1146880,3092,BAIRRO003,7785.09,165,2,4,4,1925,8589,1434252,23.0,6.0,1.0,5.0,13.0,0.0,2.0,1.48,0.0,4.77,92.2,1.55,Áreas planas ou com declividades muito suaves,951.0,LINHA005,ESTACAO007
